Prior Probabilities:
dec_pos 0.2470703125
dec_neg 0.2421875
tru_pos 0.2529296875
tru_neg 0.2578125

Modeled Probabilities:
Word , dec_pos , dec_neg , tru_pos , tru_neg
smartly , 8.963384574015148e-05 , 3.458771444382955e-05 , 4.23029738990651e-05 , 3.0314053595246755e-05
cooling , 4.481692287007574e-05 , 3.458771444382955e-05 , 4.23029738990651e-05 , 0.00012125621438098702
bath , 0.00017926769148030297 , 0.00010376314333148866 , 0.00038072676509158597 , 0.0002728264823572208
enjoy , 0.0005826199973109846 , 0.00041505257332595465 , 0.00046533271288971617 , 0.0002728264823572208
checking , 0.0002240846143503787 , 0.0007263420033204206 , 0.0002538178433943906 , 0.0005456529647144416
technological , 8.963384574015148e-05 , 3.458771444382955e-05 , 4.23029738990651e-05 , 3.0314053595246755e-05
not-as-good-as-fantasy , 4.481692287007574e-05 , 6.91754288876591e-05 , 4.23029738990651e-05 , 3.0314053595246755e-05
feature , 8.963384574015148e-05 , 6.91754288876591e-05 , 0.0001692118955962604 , 9.094216078574027e-05
watched , 4.481692287007574e-05 , 6.91754288876591e-05 , 4.23029738990651e-05 , 0.00012125621438098702
collect , 4.481692287007574e-05 , 0.00010376314333148866 , 4.23029738990651e-05 , 3.0314053595246755e-05
store , 4.481692287007574e-05 , 6.91754288876591e-05 , 0.0002538178433943906 , 0.00018188432157148054
slighty , 4.481692287007574e-05 , 3.458771444382955e-05 , 8.46059477981302e-05 , 3.0314053595246755e-05
new , 0.0004033523058306817 , 0.0010376314333148866 , 0.0009729683996784974 , 0.0008487935006669092
minimal , 4.481692287007574e-05 , 6.91754288876591e-05 , 8.46059477981302e-05 , 3.0314053595246755e-05
1112 , 4.481692287007574e-05 , 3.458771444382955e-05 , 8.46059477981302e-05 , 3.0314053595246755e-05
gate , 4.481692287007574e-05 , 3.458771444382955e-05 , 4.23029738990651e-05 , 6.062810719049351e-05
his , 0.00017926769148030297 , 0.0007263420033204206 , 0.00021151486949532553 , 0.0010609918758336366
hyatt , 0.0007618876887912876 , 0.0006225788599889319 , 0.00042302973899065107 , 0.0006365951255001819
vents , 4.481692287007574e-05 , 3.458771444382955e-05 , 4.23029738990651e-05 , 9.094216078574027e-05
joes , 4.481692287007574e-05 , 3.458771444382955e-05 , 8.46059477981302e-05 , 3.0314053595246755e-05
pointless , 4.481692287007574e-05 , 3.458771444382955e-05 , 4.23029738990651e-05 , 6.062810719049351e-05
expecting , 4.481692287007574e-05 , 0.0006225788599889319 , 8.46059477981302e-05 , 0.0002728264823572208
